timestamp,pair,long_inst,short_inst,L_entry,S_entry,L_cap,S_cap,L_mark,S_mark,recorded_pnl,virtual_pnl,diff,abs_diff,within_cent
2026-05-30T05:34:37.174900+00:00,DOGE-USDT-SWAP/BTC-USDT-SWAP,BTC-USDT-SWAP,DOGE-USDT-SWAP,73556.453500,0.100989,129.6100,70.3900,73507.700000,0.101070,-0.009907,-0.142364,-0.132457,0.132457,no
2026-05-30T05:35:40.590734+00:00,DOGE-USDT-SWAP/BTC-USDT-SWAP,BTC-USDT-SWAP,DOGE-USDT-SWAP,73556.453500,0.100989,129.6100,70.3900,73507.700000,0.101040,0.007345,-0.121453,-0.128798,0.128798,no
2026-05-30T05:36:43.936768+00:00,DOGE-USDT-SWAP/BTC-USDT-SWAP,BTC-USDT-SWAP,DOGE-USDT-SWAP,73556.453500,0.100989,129.6100,70.3900,73537.200000,0.101110,0.022563,-0.118263,-0.140826,0.140826,no
2026-05-30T05:37:47.502427+00:00,DOGE-USDT-SWAP/BTC-USDT-SWAP,BTC-USDT-SWAP,DOGE-USDT-SWAP,73556.453500,0.100989,129.6100,70.3900,73540.600000,0.101130,0.011387,-0.126213,-0.137600,0.137600,no
2026-05-30T05:38:51.286523+00:00,DOGE-USDT-SWAP/BTC-USDT-SWAP,BTC-USDT-SWAP,DOGE-USDT-SWAP,73556.453500,0.100989,129.6100,70.3900,73534.400000,0.101120,0.000899,-0.130167,-0.131066,0.131066,no
2026-05-30T05:39:55.195908+00:00,DOGE-USDT-SWAP/BTC-USDT-SWAP,BTC-USDT-SWAP,DOGE-USDT-SWAP,73556.453500,0.100989,129.6100,70.3900,73531.900000,0.101120,0.001357,-0.134572,-0.135929,0.135929,no
2026-05-30T05:40:58.344738+00:00,DOGE-USDT-SWAP/BTC-USDT-SWAP,BTC-USDT-SWAP,DOGE-USDT-SWAP,73556.453500,0.100989,129.6100,70.3900,73531.800000,0.101080,0.018653,-0.106868,-0.125521,0.125521,no
2026-05-30T05:42:01.898524+00:00,DOGE-USDT-SWAP/BTC-USDT-SWAP,BTC-USDT-SWAP,DOGE-USDT-SWAP,73556.453500,0.100989,129.6100,70.3900,73534.200000,0.101090,0.024169,-0.109609,-0.133778,0.133778,no
2026-05-30T05:43:05.676540+00:00,DOGE-USDT-SWAP/BTC-USDT-SWAP,BTC-USDT-SWAP,DOGE-USDT-SWAP,73556.453500,0.100989,129.6100,70.3900,73531.900000,0.101100,0.021111,-0.120632,-0.141743,0.141743,no
2026-05-30T05:44:08.697905+00:00,DOGE-USDT-SWAP/BTC-USDT-SWAP,BTC-USDT-SWAP,DOGE-USDT-SWAP,73556.453500,0.100989,129.6100,70.3900,73544.100000,0.101120,0.004065,-0.113075,-0.117140,0.117140,no
2026-05-30T05:45:11.732278+00:00,DOGE-USDT-SWAP/BTC-USDT-SWAP,BTC-USDT-SWAP,DOGE-USDT-SWAP,73556.453500,0.100989,129.6100,70.3900,73544.400000,0.101160,0.010251,-0.140427,-0.150678,0.150678,no
2026-05-30T05:46:14.900075+00:00,DOGE-USDT-SWAP/BTC-USDT-SWAP,BTC-USDT-SWAP,DOGE-USDT-SWAP,73556.453500,0.100989,129.6100,70.3900,73557.000000,0.101220,-0.009487,-0.160046,-0.150559,0.150559,no
2026-05-30T05:47:18.705844+00:00,DOGE-USDT-SWAP/BTC-USDT-SWAP,BTC-USDT-SWAP,DOGE-USDT-SWAP,73556.453500,0.100989,129.6100,70.3900,73581.600000,0.101350,-0.065507,-0.207310,-0.141803,0.141803,no
2026-05-30T05:48:21.571539+00:00,DOGE-USDT-SWAP/BTC-USDT-SWAP,BTC-USDT-SWAP,DOGE-USDT-SWAP,73556.453500,0.100989,129.6100,70.3900,73596.900000,0.101390,-0.069105,-0.208231,-0.139126,0.139126,no
2026-05-30T05:49:24.755252+00:00,DOGE-USDT-SWAP/BTC-USDT-SWAP,BTC-USDT-SWAP,DOGE-USDT-SWAP,73556.453500,0.100989,129.6100,70.3900,73590.300000,0.101310,-0.050487,-0.164100,-0.113613,0.113613,no
2026-05-30T05:50:27.664076+00:00,DOGE-USDT-SWAP/BTC-USDT-SWAP,BTC-USDT-SWAP,DOGE-USDT-SWAP,73556.453500,0.100989,129.6100,70.3900,73586.500000,0.101290,-0.024461,-0.156856,-0.132395,0.132395,no
2026-05-30T05:51:30.813905+00:00,DOGE-USDT-SWAP/BTC-USDT-SWAP,BTC-USDT-SWAP,DOGE-USDT-SWAP,73556.453500,0.100989,129.6100,70.3900,73577.500000,0.101240,-0.046493,-0.137864,-0.091371,0.091371,no
2026-05-30T05:52:33.448417+00:00,DOGE-USDT-SWAP/BTC-USDT-SWAP,BTC-USDT-SWAP,DOGE-USDT-SWAP,73556.453500,0.100989,129.6100,70.3900,73560.400000,0.101190,-0.012223,-0.133144,-0.120921,0.120921,no
2026-05-30T05:53:37.163725+00:00,DOGE-USDT-SWAP/BTC-USDT-SWAP,BTC-USDT-SWAP,DOGE-USDT-SWAP,73556.453500,0.100989,129.6100,70.3900,73555.600000,0.101210,-0.026491,-0.155542,-0.129051,0.129051,no
2026-05-30T05:54:40.454525+00:00,DOGE-USDT-SWAP/BTC-USDT-SWAP,BTC-USDT-SWAP,DOGE-USDT-SWAP,73556.453500,0.100989,129.6100,70.3900,73561.600000,0.101260,-0.018271,-0.179820,-0.161549,0.161549,no
2026-05-30T05:55:44.498980+00:00,DOGE-USDT-SWAP/BTC-USDT-SWAP,BTC-USDT-SWAP,DOGE-USDT-SWAP,73556.453500,0.100989,129.6100,70.3900,73587.200000,0.101350,-0.049409,-0.197443,-0.148034,0.148034,no
2026-05-30T05:56:43.964382+00:00,DOGE-USDT-SWAP/BTC-USDT-SWAP,BTC-USDT-SWAP,DOGE-USDT-SWAP,73556.453500,0.100989,129.6100,70.3900,73582.300000,0.101410,-0.072315,-0.247897,-0.175582,0.175582,no
2026-05-30T05:57:47.620687+00:00,DOGE-USDT-SWAP/BTC-USDT-SWAP,BTC-USDT-SWAP,DOGE-USDT-SWAP,73556.453500,0.100989,129.6100,70.3900,73565.000000,0.101360,-0.109619,-0.243530,-0.133911,0.133911,no
2026-05-30T05:58:48.300444+00:00,DOGE-USDT-SWAP/BTC-USDT-SWAP,BTC-USDT-SWAP,DOGE-USDT-SWAP,73556.453500,0.100989,129.6100,70.3900,73565.700000,0.101380,-0.116989,-0.256237,-0.139248,0.139248,no
2026-05-30T05:59:48.340552+00:00,DOGE-USDT-SWAP/BTC-USDT-SWAP,BTC-USDT-SWAP,DOGE-USDT-SWAP,73556.453500,0.100989,129.6100,70.3900,73560.400000,0.101380,-0.138731,-0.265576,-0.126845,0.126845,no
2026-05-30T06:00:51.649826+00:00,DOGE-USDT-SWAP/BTC-USDT-SWAP,BTC-USDT-SWAP,DOGE-USDT-SWAP,73556.453500,0.100989,129.6100,70.3900,73573.400000,0.101390,-0.140379,-0.249639,-0.109260,0.109260,no
2026-05-30T06:01:55.191163+00:00,DOGE-USDT-SWAP/BTC-USDT-SWAP,BTC-USDT-SWAP,DOGE-USDT-SWAP,73556.453500,0.100989,129.6100,70.3900,73566.000000,0.101320,-0.109715,-0.213888,-0.104173,0.104173,no
2026-05-30T06:02:58.840687+00:00,DOGE-USDT-SWAP/BTC-USDT-SWAP,BTC-USDT-SWAP,DOGE-USDT-SWAP,73556.453500,0.100989,129.6100,70.3900,73565.300000,0.101310,-0.096099,-0.208151,-0.112052,0.112052,no
