FIL-USDT-SWAP,NEAR-USDT-SWAP,FIL-USDT-SWAP_log,NEAR-USDT-SWAP_log,Spread,ZScore
1.265,1.487,0.23507212217948348,0.3967606674780181,0.011722358979145198,
1.264,1.546,0.2342812957246657,0.4356709501652302,-0.010972358502694679,
1.264,1.499,0.2342812957246657,0.4047982191204607,0.006406927634782733,
1.264,1.486,0.2342812957246657,0.39608794629556743,0.011310229630961677,
1.264,1.485,0.2342812957246657,0.395414772254663,0.011689181666667076,
1.264,1.485,0.2342812957246657,0.395414772254663,0.011689181666667076,
1.264,1.486,0.2342812957246657,0.39608794629556743,0.011310229630961677,
1.264,1.485,0.2342812957246657,0.395414772254663,0.011689181666667076,
1.264,1.485,0.2342812957246657,0.395414772254663,0.011689181666667076,
1.251,1.496,0.223943231484774,0.4027948795522855,-0.002803390195652705,
1.261,1.496,0.23190505698278244,0.4027948795522855,0.0051584353023557405,
1.261,1.499,0.23190505698278244,0.4047982191204607,0.004030688892899481,
1.261,1.495,0.23190505698278244,0.4021262068426498,0.005534853389120686,
1.261,1.503,0.23190505698278244,0.40746311077083736,0.002530532834463667,
1.263,1.495,0.233489843368354,0.4021262068426498,0.007119639774692238,
1.261,1.509,0.23190505698278244,0.41144717978571177,0.0002877680042142061,
1.268,1.509,0.2374408560150342,0.41144717978571177,0.005823567036465971,
1.269,1.495,0.23822918873225055,0.4021262068426498,0.011858985138588796,
1.268,1.495,0.2374408560150342,0.4021262068426498,0.011070652421372451,
1.268,1.495,0.2374408560150342,0.4021262068426498,0.011070652421372451,
1.269,1.495,0.23822918873225055,0.4021262068426498,0.011858985138588796,0.7813271047365249
1.27,1.495,0.23901690047049992,0.4021262068426498,0.01264669687683817,0.8989197382387373
1.27,1.496,0.23901690047049992,0.4027948795522855,0.012270278790073225,0.8806867825367836
1.27,1.52,0.23901690047049992,0.41871033485818504,0.0033109401631031543,-1.0461822767207685
1.27,1.495,0.23901690047049992,0.4021262068426498,0.01264669687683817,0.9473067974594309
1.27,1.5,0.23901690047049992,0.4054651081081644,0.010767118410196674,0.5586367551061566
1.27,1.496,0.23901690047049992,0.4027948795522855,0.012270278790073225,0.8715244813316454
1.27,1.495,0.23901690047049992,0.4021262068426498,0.01264669687683817,0.9278670642985755
1.27,1.504,0.23901690047049992,0.4081282255276481,0.009267961125284246,0.24043414929729923
